Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How would you rate the workshop in general?,How would you rate the teaching material?,How would you rate the trainers/teachers?,What aspects did you like most?,What would you like to see changed? What could be better/different?,"Do you think that you will apply ABM to your own research? If yes, can you elaborate? - Selected Choice","Do you think that you will apply ABM to your own research? If yes, can you elaborate? - Yes, please explain. - Text",Do you have any general feedback for us?
2023-04-03 16:11:24,2023-04-03 16:13:06,IP Address,145.108.67.168,100,102,True,2023-04-03 16:13:07,R_3p8VFAlXyY9SQrH,,,,,52.3766,4.8348,qr,EN,Excellent,Excellent,Excellent,,,"Yes, please explain.",I think it is necceseary if you try to explain human behavior based on scarce material records. Much better than traditional stories about the past.,
2023-04-03 16:18:13,2023-04-03 16:19:01,IP Address,82.113.98.126,100,47,True,2023-04-03 16:19:01,R_2ZUjBO1RJwM4BgI,,,,,50.1169,8.6837,qr,EN,Sufficent,Sufficent,Excellent,,Less crashes :),"Yes, please explain.","I am using it for my PhD ",
2023-04-03 16:18:10,2023-04-03 16:19:12,IP Address,130.37.32.204,100,62,True,2023-04-03 16:19:12,R_3oyHQAbYlNLnouq,,,,,52.4153,4.6836,qr,EN,Good,Excellent,Good,"Interactivity ",,"Yes, please explain.","Very useful tool for modelling prehistoric demography ",
2023-04-03 16:18:24,2023-04-03 16:19:29,IP Address,130.37.59.215,100,64,True,2023-04-03 16:19:29,R_12mO4Yb0g9AhvaP,,,,,52.3066,4.8812,qr,EN,Sufficent,Sufficent,Excellent,,,,,
2023-04-03 16:18:17,2023-04-03 16:19:36,IP Address,77.63.64.2,100,78,True,2023-04-03 16:19:37,R_1EZ2k6KNVHAWu9R,,,,,52.0781,4.2872,qr,EN,Good,Sufficent,Excellent,"The way the tutorial works, taking you through it step by step",It did crash a bit to often,No,,
2023-04-03 16:18:13,2023-04-03 16:19:37,IP Address,145.108.72.229,100,84,True,2023-04-03 16:19:38,R_9ZhcosXOIROLH3j,,,,,52.364,4.8913,qr,EN,Excellent,Good,Excellent,"It is very practical ",I would like more specific implementations depending on the audience interests,"Yes, please explain.","For data viewing ",Keep the good work!!
2023-04-03 16:18:04,2023-04-03 16:19:42,IP Address,145.108.78.223,100,98,True,2023-04-03 16:19:42,R_2UhFAJJTq2qol9u,,,,,52.2312,5.1544,anonymous,EN,Good,Good,Good,The workshop,Less bugs,No,,
2023-04-03 16:20:06,2023-04-03 16:20:33,IP Address,145.108.234.182,100,27,True,2023-04-03 16:20:34,R_3p5BinBma8UPX5g,,,,,52.3066,4.8812,qr,EN,Good,Good,Good,,,"Yes, please explain.",,
2023-04-03 16:18:20,2023-04-03 16:21:17,IP Address,83.187.189.201,100,177,True,2023-04-03 16:21:18,R_1dofwDIhF5BqyIJ,,,,,57.7165,11.9708,qr,EN,Sufficent,Sufficent,Sufficent,The tutorial,"A deeper explination of how the methods actually works, not just what the methods are good for","Yes, please explain.",I am not sure yet but i do see how this could be used to figure out migration patterns,
2023-04-03 16:18:57,2023-04-03 16:23:33,IP Address,130.37.66.129,100,275,True,2023-04-03 16:23:34,R_27TdrpxhAtxeLsq,,,,,52.3712,4.9044,anonymous,EN,Good,Good,Good,Flow of the tutorial,If more archaeological examples gievn,"Yes, please explain.",1) A new way to explore my current PhD data; 2) Socio-political movements in Indian sucontinent from 600 BC to 1000CE,"May be give more info about code-components which we are using in the tutorial. "
2023-04-03 16:18:20,2023-04-03 16:23:52,IP Address,89.15.239.229,100,332,True,2023-04-03 16:23:53,R_dgrTVVnZm8cGM9z,,,,,51.4423,6.9784,qr,EN,Excellent,Good,Excellent,"practical tutorial,  clear introduction ","additional exercises, i.e. being presented with a theory and develop an ABM to test it","Yes, please explain.",testing scenarios and hypotheses,"Well done! make it open source as soon as possible :) but before that, remove the bugs (e.g. lines inserted at the wrong place, extent for the patches doesn't match the extent of the imported map, missing brackets etc.)."
2023-04-03 16:19:20,2023-04-03 16:24:19,IP Address,185.237.102.49,100,299,True,2023-04-03 16:24:20,R_2wGEEk4oLAwHmpr,,,,,51.9172,4.5049,qr,EN,Good,Excellent,Excellent,We learn practicing,"Probably, it will be nice understand a little more the si tax of scripts.","Yes, please explain.","Yes. I would love to apply ABM to my own research and compare with other cases. ","Just my comment about the general syntax of script. "
2023-04-03 16:22:00,2023-04-03 16:24:33,IP Address,130.37.206.220,100,152,True,2023-04-03 16:24:33,R_2qjTD5dppfWs2ZA,,,,,52.3955,5.2975,qr,EN,Good,Good,Good,,,"Yes, please explain.","Not sure yet how but interesting perspective ",
2023-04-03 16:19:11,2023-04-03 16:24:57,IP Address,46.222.154.192,100,346,True,2023-04-03 16:24:58,R_1luFWAlIQem63Cb,,,,,39.468,-0.3621,anonymous,EN,Good,Excellent,Excellent,"own pace, clear instructions and explanations","if you don't do what the tutorial is expecting it doesn't follow you, also some graphic errors (popup window on the button supposed to click on...)","Yes, please explain.","not sure yet, I need to learn more about it!",
2023-04-03 16:18:28,2023-04-03 16:25:19,IP Address,145.108.230.134,100,410,True,2023-04-03 16:25:19,R_xucIAKdDQS3sO6R,,,,,52.3806,4.8738,qr,EN,Sufficent,Sufficent,Good,The concept of abm and the idea of an interactive tutorial,"A functional interface XD -no overlapping messages, tutorial messages appear under the ui elements, possibility to skip a step, ""green surface"" looks white on my device - describe it better, adaptations for the main three browsers or indication of which browser to use, LARGER MAP","Yes, please explain.",I want to try modeling trade this way,"If the online tutorial is going to be functional, we can use the time in presence to discuss nuances (having done the tutorial at home) especially about how it can be used, when it can be applied, how to compare and experiment, what pitfalls there are when comparing simulations under different conditions"
2023-04-03 16:25:09,2023-04-03 16:26:45,IP Address,130.37.184.254,100,96,True,2023-04-03 16:26:46,R_1Cx0TdozGzMFcaq,,,,,52.3474,4.9284,anonymous,EN,Excellent,Good,Excellent,ABM in R,bugs removed,"Yes, please explain.",,Great work! Thank you!
