Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you know what Agent-Based Modeling is?,What is your experience with Agent-Based Modeling?,How do you judge the available theory on Agent-Based Modelling?,Which software do you know for Agent-Based Modeling? - Selected Choice,Which software do you know for Agent-Based Modeling? - Other: - Text,Have you ever applied Agent-Based Modelling?,What did you use Agent-Based Modelling for?,Which computer skills do you have? - Selected Choice,"Which computer skills do you have? - Other, please describe: - Text",Do you have any previous programming/coding experience?,With which programming languages have you worked before? - Selected Choice,"With which programming languages have you worked before? - Other, please describe - Text",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe below: - Text,What is you highest educational grade obtained?,What is you nationality? - Selected Choice,What is you nationality? - Nationality - Text,Which of the option below applies to you?,What is the best description of your job - Selected Choice,"What is the best description of your job - Different, please describe: - Text",What kind of organisation do you work? - Selected Choice,"What kind of organisation do you work? - Different, please describe: - Text"
2024-01-22 10:37:04,2024-01-22 10:38:03,IP Address,100,59,True,2024-01-22 10:38:03,R_7yedFCzewkgJ36j,anonymous,EN,No,,,,,,,"Word processor,Email",,No,,,21-30 years,Male,,Bachelor,Nationality,Greek,Student,,,,
2024-01-22 10:48:02,2024-01-22 10:50:00,IP Address,100,118,True,2024-01-22 10:50:01,R_1nvMIe3HC1IeopC,anonymous,EN,Yes,Beginner,Limited,Python,,No,,"Word processor,Email,Spreadsheet,GIS,CAD",,Less than 1 year,"Python,Javascript / Typescript",,21-30 years,Female,,Master,Nationality,Dutch,Working professionally,Specialist,,Government,
2024-01-22 11:14:31,2024-01-22 11:15:32,IP Address,100,61,True,2024-01-22 11:15:32,R_5d2lOvG1IS4XZ9T,anonymous,EN,Yes,Beginner,Sufficient,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS",,No,,,31-40 years,Male,,PhD,Nationality,Slovak,Working professionally,Education,,University,
2024-01-22 11:20:48,2024-01-22 11:27:12,IP Address,100,383,True,2024-01-22 11:27:13,R_1egSvUbyCNrAKAx,anonymous,EN,Yes,Beginner,Sufficient,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS",,No,,,21-30 years,Male,,Master,Nationality,cz,Working professionally,Research,,NGO,
2024-01-22 11:27:10,2024-01-22 11:32:40,IP Address,100,329,True,2024-01-22 11:32:40,R_4xWBkFCruGuy6lL,anonymous,EN,Yes,Beginner,Very good,"NetLogo,R,Python",,Yes,I’ve used ABM to simulate interested social phenomenon and computer science algorithms.,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,3-5 years,"NetLogo,Python,Java,R,Javascript / Typescript,C,C++",,31-40 years,Non-binary,,Bachelor,Nationality,Thai,Working professionally,Specialist,,"Different, please describe:",
2024-01-22 11:49:20,2024-01-22 11:50:31,IP Address,100,71,True,2024-01-22 11:50:32,R_2WMYh87pGpJMMWa,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,Less than 1 year,R,,21-30 years,Male,,High school,Nationality,European,Student,,,,
2024-01-22 12:06:47,2024-01-22 12:11:44,IP Address,100,297,True,2024-01-22 12:11:44,R_2mwUPzzeHu6jC9t,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Other, please describe:","MS Office, Html, Unity",No,,,21-30 years,Female,,Master,Prefer not to share,,Working professionally,"Different, please describe:","research, education, museum, popularisation","Different, please describe:",institute of archaeology of the czech academy of sciences
2024-01-22 12:23:33,2024-01-22 12:24:55,IP Address,100,82,True,2024-01-22 12:24:56,R_2r322nRZbmkVrc4,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,GIS",,No,,,31-40 years,Male,,Master,Nationality,Czech,Student,,,,
2024-01-22 12:24:30,2024-01-22 12:28:11,IP Address,100,220,True,2024-01-22 12:28:12,R_8CdjngTqLGTZOeZ,anonymous,EN,Yes,Beginner,No opinion,"NetLogo,Python",,No,,"GIS,Programming/coding,Other, please describe:","Statistics, data analysis, data science ",Less than 1 year,"Python,Java,R",,31-40 years,Female,,Master,Nationality,"Macedonian ",Student,,,,
2024-01-22 12:20:03,2024-01-22 12:29:11,IP Address,100,548,True,2024-01-22 12:29:11,R_24CF9uFXPFQQkPn,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling",,Less than 1 year,Python,,21-30 years,Female,,Bachelor,Nationality,czech,Working professionally,Research,,Government,
2024-01-22 13:05:15,2024-01-22 13:06:58,IP Address,100,103,True,2024-01-22 13:06:58,R_5gAvPTRLQ0vFxEB,anonymous,EN,Yes,Beginner,No opinion,"NetLogo,R",,No,,"Word processor,Email,Spreadsheet",,Less than 1 year,Python,,31-40 years,Female,,Master,Nationality,Czech,Student,,,,
2024-01-22 14:46:55,2024-01-22 14:48:25,IP Address,100,89,True,2024-01-22 14:48:25,R_6UaavzRBj4X10cp,anonymous,EN,Yes,Beginner,Sufficient,None,,No,,"Word processor,Email,Spreadsheet,GIS",,Less than 1 year,"Python,Javascript / Typescript",,31-40 years,Female,,PhD,Nationality,USA,Working professionally,Education,,University,
2024-01-22 15:05:00,2024-01-22 15:07:14,IP Address,100,134,True,2024-01-22 15:07:15,R_41GzBdBejnhb4pe,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet",,No,,,21-30 years,Female,,Master,Nationality,Belgian,Student,,,,
2024-01-22 23:36:50,2024-01-22 23:37:38,IP Address,100,48,True,2024-01-22 23:37:39,R_4bTTFYM2dcozlqJ,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet",,No,,,41-50 years,Female,,PhD,Nationality,New Zealander,Working professionally,Research,,University,
2024-01-23 08:28:32,2024-01-23 08:31:40,IP Address,100,188,True,2024-01-23 08:31:41,R_4WYxemyaoAaWEuZ,anonymous,EN,Yes,Beginner,More than sufficient,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling",,Less than 1 year,"NetLogo,Java",,31-40 years,Male,,PhD,Nationality,Czech,Working professionally,Research,,Government,
2024-01-24 09:19:53,2024-01-24 09:21:08,IP Address,100,74,True,2024-01-24 09:21:08,R_73D7y8Kie5t5UcF,anonymous,EN,Yes,Beginner,No opinion,R,,No,,"Word processor,Email",,No,,,31-40 years,Female,,PhD,Nationality,German,Student,,,,
2024-01-25 13:03:31,2024-01-25 13:06:18,IP Address,100,167,True,2024-01-25 13:06:19,R_4cnoMivQJo6XQv4,anonymous,EN,Yes,Beginner,No opinion,NetLogo,,No,,"Word processor,Email,Spreadsheet,Other, please describe:",very basic R knowledge for statistical analyses,No,,,31-40 years,Female,,Master,Nationality,Greek,Student,,,,
