Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you know what Agent-Based Modeling is?,What is your experience with Agent-Based Modeling?,How do you judge the available theory on Agent-Based Modelling?,Which software do you know for Agent-Based Modeling? - Selected Choice,Which software do you know for Agent-Based Modeling? - Other: - Text,Have you ever applied Agent-Based Modelling?,What did you use Agent-Based Modelling for?,Which computer skills do you have? - Selected Choice,"Which computer skills do you have? - Other, please describe: - Text",Do you have any previous programming/coding experience?,With which programming languages have you worked before? - Selected Choice,"With which programming languages have you worked before? - Other, please describe - Text",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe below: - Text,What is you highest educational grade obtained?,What is you nationality? - Selected Choice,What is you nationality? - Nationality - Text,Which of the option below applies to you?,What is the best description of your job - Selected Choice,"What is the best description of your job - Different, please describe: - Text",What kind of organisation do you work? - Selected Choice,"What kind of organisation do you work? - Different, please describe: - Text"
2023-03-31 11:28:10,2023-03-31 11:29:31,IP Address,100,81,True,2023-03-31 11:29:32,R_2E49O25LKOmjmxn,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet",,Less than 1 year,None,,20 years or younger,Non-binary,,High school,Nationality,American,Student,,,,
2023-03-31 11:31:20,2023-03-31 11:33:51,IP Address,100,150,True,2023-03-31 11:33:51,R_1j9As6hWozJQH1H,anonymous,EN,Yes,Beginner,Sufficient,"NetLogo,Python",,Yes,"To build toy models frente m Complex Systems Theory ",Programming/coding,,1-2 years,"NetLogo,Python",,31-40 years,Male,,Master,Nationality,Colombian,Student,,,,
2023-03-31 11:32:17,2023-03-31 11:36:04,IP Address,100,226,True,2023-03-31 11:36:05,R_3pCQxTkhJHrP7EZ,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS",,No,,,41-50 years,Female,,PhD,,,Working professionally,Research,,Government,
2023-03-31 11:35:09,2023-03-31 11:42:12,IP Address,100,422,True,2023-03-31 11:42:14,R_10vkBH0WXlWoDC4,anonymous,EN,Yes,Expert,No opinion,"NetLogo,R,Python",,Yes,"evolutionary robotics, cooperation in psychology, archaeology, epidemiology, cultural evolution,...","Word processor,Email,Spreadsheet,Programming/coding",,More than 5 years,"NetLogo,Python,Java,R,C,C++,Other, please describe","ADA,OCAML,BASH",31-40 years,Male,,PhD,Nationality,French,Working professionally,Specialist,,University,
2023-03-31 13:18:10,2023-03-31 13:19:22,IP Address,100,71,True,2023-03-31 13:19:22,R_1eqq32RqbDqZXlx,anonymous,EN,Yes,Beginner,Sufficient,R,,No,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",,1-2 years,"Python,R",,31-40 years,Male,,Master,Prefer not to share,,Student,,,,
2023-03-31 13:34:44,2023-03-31 13:37:16,IP Address,100,151,True,2023-03-31 13:37:16,R_8hWpfggWYAXv0WZ,anonymous,EN,Yes,Beginner,No opinion,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding",,More than 5 years,R,,41-50 years,Male,,PhD,Nationality,Argentinian/Venezuelan/Italian,Working professionally,Research,,University,
2023-03-31 14:49:39,2023-03-31 14:52:17,IP Address,100,157,True,2023-03-31 14:52:17,R_2E6NFybbiVvntQA,anonymous,EN,Yes,Experienced,Sufficient,NetLogo,,Yes,To mimic the irrigation system.,"Spreadsheet,Programming/coding",,1-2 years,NetLogo,,31-40 years,Female,,Master,Nationality,Chinese,Student,,,,
2023-03-31 16:08:41,2023-03-31 16:09:40,IP Address,100,59,True,2023-03-31 16:09:41,R_2D20Tqmt7zeJ6z3,anonymous,EN,Yes,Beginner,No opinion,NetLogo,,No,,"Word processor,Email,Spreadsheet,Programming/coding",,Less than 1 year,"NetLogo,Python,R",,21-30 years,Female,,Master,,,Student,,,,
2023-03-31 16:08:45,2023-03-31 16:10:14,IP Address,100,88,True,2023-03-31 16:10:15,R_2CyozsAYjpdBCPe,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,Less than 1 year,C++,,21-30 years,Male,,High school,Prefer not to share,,Student,,,,
2023-03-31 18:34:04,2023-03-31 18:40:37,IP Address,100,392,True,2023-03-31 18:40:38,R_33j6dmO4AfFscid,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling",,No,,,31-40 years,Male,,Master,Nationality,Indian,Student,,,,
2023-03-31 18:55:18,2023-03-31 18:57:29,IP Address,100,131,True,2023-03-31 18:57:30,R_1mOaKZIcUQ1OmEU,anonymous,EN,Yes,Beginner,No opinion,"R,Python",,No,,"Word processor,Email,Spreadsheet,CAD,Programming/coding",,3-5 years,"Python,Java,R,C++",,21-30 years,Female,,Bachelor,Nationality,Romanian,Student,,,,
2023-03-31 19:46:55,2023-03-31 19:48:56,IP Address,100,120,True,2023-03-31 19:48:57,R_1EbL6ZnbHmP1czv,anonymous,EN,Yes,Beginner,More than sufficient,"NetLogo,R",,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,3-5 years,"Python,R",,21-30 years,Male,,Master,Prefer not to share,,Working professionally,Research,,University,
2023-03-31 19:58:15,2023-03-31 20:05:15,IP Address,100,420,True,2023-03-31 20:05:17,R_1OpgF0AY4DVKlee,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding,Other, please describe:",Arches project,More than 5 years,"NetLogo,Python,Javascript / Typescript",,51-60 years,Male,,Master,Nationality,Israeli,Working professionally,Specialist,,University,
2023-03-31 21:50:51,2023-03-31 21:53:03,IP Address,100,131,True,2023-03-31 21:53:04,R_3nPi0GrbA3MbjeX,anonymous,EN,Yes,Beginner,Sufficient,"NetLogo,R,Python",,No,,"Email,Spreadsheet,GIS,CAD,Other, please describe:",I´m starting to use python,Less than 1 year,"Python,R",,41-50 years,Male,,PhD,Nationality,Colombian,Working professionally,Education,,University,
2023-03-31 23:31:03,2023-03-31 23:32:46,IP Address,100,102,True,2023-03-31 23:32:48,R_2Xd05x0XJU3I08a,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet",,No,,,21-30 years,Female,,Master,Prefer not to share,,Student,,,,
2023-04-01 06:44:22,2023-04-01 06:46:34,IP Address,100,131,True,2023-04-01 06:46:34,R_26a2VoUIR04qv3f,anonymous,EN,Yes,Beginner,Limited,"NetLogo,R",,No,,"Word processor,Email,Spreadsheet,3D modelling,Programming/coding",,Less than 1 year,R,,41-50 years,Male,,PhD,Nationality,Greek,Working professionally,Research,,University,
2023-04-01 11:13:47,2023-04-01 11:23:30,IP Address,100,583,True,2023-04-01 11:23:31,R_cYMcIJ958OU6dYR,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",,Less than 1 year,"Python,Java",,31-40 years,Female,,Master,Prefer not to share,,Student,,,,
