Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you know what Agent-Based Modeling is?,What is your experience with Agent-Based Modeling?,How do you judge the available theory on Agent-Based Modelling?,Which software do you know for Agent-Based Modeling? - Selected Choice,Which software do you know for Agent-Based Modeling? - Other: - Text,Have you ever applied Agent-Based Modelling?,What did you use Agent-Based Modelling for?,Which computer skills do you have? - Selected Choice,"Which computer skills do you have? - Other, please describe: - Text",Do you have any previous programming/coding experience?,With which programming languages have you worked before? - Selected Choice,"With which programming languages have you worked before? - Other, please describe - Text",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe below: - Text,What is you highest educational grade obtained?,What is you nationality? - Selected Choice,What is you nationality? - Nationality - Text,Which of the option below applies to you?,What is the best description of your job - Selected Choice,"What is the best description of your job - Different, please describe: - Text",What kind of organisation do you work? - Selected Choice,"What kind of organisation do you work? - Different, please describe: - Text"
2023-08-31 17:50:17,2023-08-31 17:50:58,IP Address,100,40,True,2023-08-31 17:50:59,R_3kzdUwZb4xd37UJ,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling",,No,,,21-30 years,Female,,Master,Prefer not to share,,Student,,,,
2023-08-31 17:49:50,2023-08-31 17:51:07,IP Address,100,76,True,2023-08-31 17:51:07,R_3sBa8VcwGCkMYb9,qr,EN,Yes,Beginner,Limited,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,1-2 years,"Python,Javascript / Typescript",,31-40 years,Female,,PhD,Nationality,"Hungarian ",Working professionally,Research,,University,
2023-08-31 17:50:42,2023-08-31 17:51:49,IP Address,100,66,True,2023-08-31 17:51:50,R_eXum1elfj0DBseB,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,More than 5 years,"Python,Java,R,Javascript / Typescript,C",,31-40 years,Female,,Bachelor,Nationality,Swiss,Student,,,,
2023-08-31 17:50:05,2023-08-31 17:52:54,IP Address,100,169,True,2023-08-31 17:52:54,R_3JgQDetqWV2svGR,qr,EN,Yes,Beginner,More than sufficient,"NetLogo,Python",,No,,"Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding,Other, please describe:",weather modeling,More than 5 years,"Python,Java,Javascript / Typescript,C,C++",,Over 71 years,Male,,PhD,Nationality,israel,Working professionally,Research,,University,
2023-08-31 17:51:36,2023-08-31 17:53:09,IP Address,100,92,True,2023-08-31 17:53:09,R_1Nm5D6FwOIRDwK4,qr,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,Programming/coding",,More than 5 years,"Python,R,C,C++",,41-50 years,Male,,PhD,Nationality,British,Working professionally,Research,,University,
2023-08-31 17:49:59,2023-08-31 17:53:11,IP Address,100,192,True,2023-08-31 17:53:12,R_re6jtOzJzrq2k37,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,3D modelling",,No,,,41-50 years,Male,,PhD,Nationality,German,Working professionally,Specialist,,Government,
2023-08-31 17:50:34,2023-08-31 17:53:19,IP Address,100,165,True,2023-08-31 17:53:20,R_1N7VFIAWVMBPVHv,qr,EN,Yes,,No opinion,Other:,Mageo,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:","PAO, webdesign, html, php",Less than 1 year,"Other, please describe",Php,41-50 years,Male,,PhD,Nationality,French,Working professionally,Research,,NGO,
2023-08-31 17:51:35,2023-08-31 17:53:30,IP Address,100,115,True,2023-08-31 17:53:31,R_3e3HjZqF4CCQWlg,qr,EN,No,,,,,,,"Word processor,Email,GIS,3D modelling,Other, please describe:",Adobe Illustrator etc.,No,,,,Female,,Master,Nationality,Austria,Student,,,,
2023-08-31 17:52:22,2023-08-31 17:53:36,IP Address,100,73,True,2023-08-31 17:53:36,R_3qKyA4EVcHO5Mio,qr,EN,Yes,Beginner,Limited,R,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,Less than 1 year,R,,21-30 years,Female,,PhD,Nationality,China,Student,,,,
2023-08-31 17:52:29,2023-08-31 17:53:42,IP Address,100,73,True,2023-08-31 17:53:43,R_2bI55Yhf6zoXSLk,qr,EN,Yes,Beginner,Limited,"NetLogo,R,Python",,No,,"Word processor,Email,GIS,CAD,3D modelling,Programming/coding",,Less than 1 year,R,,21-30 years,Female,,Master,Prefer not to share,,Student,,,,
2023-08-31 17:52:03,2023-08-31 17:54:01,IP Address,100,117,True,2023-08-31 17:54:02,R_0D4SosR5vBxgDnz,qr,EN,No,,,,,,,"Word processor,Email,GIS",,No,,,41-50 years,Male,,PhD,Nationality,Slovenia,Working professionally,Specialist,,Government,
2023-08-31 17:51:37,2023-08-31 17:54:13,IP Address,100,155,True,2023-08-31 17:54:14,R_1qgFqeSEVa366Cx,qr,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,Programming/coding",,More than 5 years,"Python,R,C++",,41-50 years,Male,,PhD,Nationality,Netherlands,Working professionally,Education,,University,
2023-08-31 17:51:37,2023-08-31 17:54:34,IP Address,100,177,True,2023-08-31 17:54:35,R_5BhYBrBMPpCy761,qr,EN,Yes,Beginner,More than sufficient,GAML,,Yes,For modeling spread of COVID in particular building depending on restriction,"Spreadsheet,GIS,CAD",,Less than 1 year,"Python,GAML,Other, please describe",Sql,21-30 years,Male,,Master,Nationality,"Polish ",Working professionally,Research,,University,
2023-08-31 17:53:26,2023-08-31 17:54:43,IP Address,100,77,True,2023-08-31 17:54:44,R_PXL7R9orhNnJlDj,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet",,No,,,31-40 years,Female,,Master,Nationality,Belgium,Student,,,,
2023-08-31 17:53:09,2023-08-31 17:54:50,IP Address,100,101,True,2023-08-31 17:54:51,R_2f1b5M8LWZfpPhs,qr,EN,Yes,Beginner,No opinion,"NetLogo,R",,No,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",,3-5 years,"Python,R,Other, please describe",Matlab,21-30 years,Male,,Master,Nationality,French,Student,,,,
2023-08-31 17:53:39,2023-08-31 17:54:57,IP Address,100,77,True,2023-08-31 17:54:57,R_3kFV3H93kkU98O9,qr,EN,Yes,Beginner,Sufficient,"R,Python",,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,1-2 years,R,,21-30 years,Male,,Master,Nationality,French,Student,,,,
2023-08-31 17:53:53,2023-08-31 17:55:29,IP Address,100,96,True,2023-08-31 17:55:29,R_6LLfQfpETObj63n,qr,EN,Yes,Beginner,Sufficient,"R,Python",,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,3-5 years,"Python,R,Other, please describe",Julia,21-30 years,Male,,PhD,Nationality,UK (Scotland),Working professionally,Research,,University,
2023-08-31 17:54:06,2023-08-31 17:55:37,IP Address,100,91,True,2023-08-31 17:55:38,R_2f0x8DA2M9turse,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet,Programming/coding",,3-5 years,R,,21-30 years,Male,,Master,Nationality,Hong Kong,Student,,,,
2023-08-31 17:54:04,2023-08-31 17:55:53,IP Address,100,108,True,2023-08-31 17:55:54,R_1DtDEieqQSk4NpG,qr,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS",,No,,,51-60 years,Female,,PhD,Nationality,Italian,Working professionally,Education,,University,
2023-08-31 17:54:13,2023-08-31 17:55:55,IP Address,100,102,True,2023-08-31 17:55:56,R_3KN2qjT2yzCZLtj,qr,EN,Yes,Beginner,Sufficient,None,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling",,No,,,31-40 years,Female,,PhD,Nationality,Spain,Working professionally,Research,,University,
2023-08-31 17:56:03,2023-08-31 17:57:48,IP Address,100,104,True,2023-08-31 17:57:48,R_OJNSnTmbPMufJcZ,qr,EN,Yes,Beginner,More than sufficient,"NetLogo,R",,No,,"Email,GIS,CAD,3D modelling",,No,,,31-40 years,Female,,PhD,Nationality,Italian,Working professionally,Research,,University,
2023-08-31 17:52:25,2023-08-31 18:04:03,IP Address,100,698,True,2023-08-31 18:04:04,R_ZfnHMFJ3lsHdOtH,qr,EN,Yes,,No opinion,None,,No,,"Word processor,Email,GIS",,No,,,21-30 years,Female,,Bachelor,Nationality,Germany,Student,,,,
2023-08-31 17:52:46,2023-08-31 18:04:15,IP Address,12,688,False,2023-09-04 08:48:39,R_2CZowwtJlFufsYa,qr,EN,Yes,,,,,,,,,,,,,,,,,,,,,,
