"","Start.Date","End.Date","Response.Type","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","Distribution.Channel","User.Language","Do.you.know.what.Agent.Based.Modeling.is.","What.is.your.experience.with.Agent.Based.Modeling.","How.do.you.judge.the.available.theory.on.Agent.Based.Modelling.","Which.software.do.you.know.for.Agent.Based.Modeling....Selected.Choice","Which.software.do.you.know.for.Agent.Based.Modeling....Other....Text","Have.you.ever.applied.Agent.Based.Modelling.","What.did.you.use.Agent.Based.Modelling.for.","Which.computer.skills.do.you.have....Selected.Choice","Which.computer.skills.do.you.have....Other..please.describe....Text","Do.you.have.any.previous.programming.coding.experience.","With.which.programming.languages.have.you.worked.before....Selected.Choice","With.which.programming.languages.have.you.worked.before....Other..please.describe...Text","What.is.your.age.","What.is.your.gender....Selected.Choice","What.is.your.gender....Prefer.to.self.describe.below....Text","What.is.you.highest.educational.grade.obtained.","What.is.you.nationality....Selected.Choice","What.is.you.nationality....Nationality...Text","Which.of.the.option.below.applies.to.you.","What.is.the.best.description.of.your.job...Selected.Choice","What.is.the.best.description.of.your.job...Different..please.describe....Text","What.kind.of.organisation.do.you.work....Selected.Choice","What.kind.of.organisation.do.you.work....Different..please.describe....Text","Workshop"
"1","2023-03-31 11:28:10","2023-03-31 11:29:31","IP Address",100,81,"True","2023-03-31 11:29:32","R_2E49O25LKOmjmxn","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet","","Less than 1 year","None","","20 years or younger","Non-binary",NA,"High school","Nationality","American","Student","","","","","202304_CAA"
"2","2023-03-31 11:31:20","2023-03-31 11:33:51","IP Address",100,150,"True","2023-03-31 11:33:51","R_1j9As6hWozJQH1H","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,Python",NA,"Yes","To build toy models frente m Complex Systems Theory ","Programming/coding","","1-2 years","NetLogo,Python","","31-40 years","Male",NA,"Master","Nationality","Colombian","Student","","","","","202304_CAA"
"3","2023-03-31 11:32:17","2023-03-31 11:36:04","IP Address",100,226,"True","2023-03-31 11:36:05","R_3pCQxTkhJHrP7EZ","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS","","No","","","41-50 years","Female",NA,"PhD","","","Working professionally","Research","","Government","","202304_CAA"
"4","2023-03-31 11:35:09","2023-03-31 11:42:12","IP Address",100,422,"True","2023-03-31 11:42:14","R_10vkBH0WXlWoDC4","anonymous","EN","Yes","Expert","No opinion","NetLogo,R,Python",NA,"Yes","evolutionary robotics, cooperation in psychology, archaeology, epidemiology, cultural evolution,...","Word processor,Email,Spreadsheet,Programming/coding","","More than 5 years","NetLogo,Python,Java,R,C,C++,Other, please describe","ADA,OCAML,BASH","31-40 years","Male",NA,"PhD","Nationality","French","Working professionally","Specialist","","University","","202304_CAA"
"5","2023-03-31 13:18:10","2023-03-31 13:19:22","IP Address",100,71,"True","2023-03-31 13:19:22","R_1eqq32RqbDqZXlx","anonymous","EN","Yes","Beginner","Sufficient","R",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","1-2 years","Python,R","","31-40 years","Male",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"6","2023-03-31 13:34:44","2023-03-31 13:37:16","IP Address",100,151,"True","2023-03-31 13:37:16","R_8hWpfggWYAXv0WZ","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding","","More than 5 years","R","","41-50 years","Male",NA,"PhD","Nationality","Argentinian/Venezuelan/Italian","Working professionally","Research","","University","","202304_CAA"
"7","2023-03-31 14:49:39","2023-03-31 14:52:17","IP Address",100,157,"True","2023-03-31 14:52:17","R_2E6NFybbiVvntQA","anonymous","EN","Yes","Experienced","Sufficient","NetLogo",NA,"Yes","To mimic the irrigation system.","Spreadsheet,Programming/coding","","1-2 years","NetLogo","","31-40 years","Female",NA,"Master","Nationality","Chinese","Student","","","","","202304_CAA"
"8","2023-03-31 16:08:41","2023-03-31 16:09:40","IP Address",100,59,"True","2023-03-31 16:09:41","R_2D20Tqmt7zeJ6z3","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,Programming/coding","","Less than 1 year","NetLogo,Python,R","","21-30 years","Female",NA,"Master","","","Student","","","","","202304_CAA"
"9","2023-03-31 16:08:45","2023-03-31 16:10:14","IP Address",100,88,"True","2023-03-31 16:10:15","R_2CyozsAYjpdBCPe","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","Less than 1 year","C++","","21-30 years","Male",NA,"High school","Prefer not to share","","Student","","","","","202304_CAA"
"10","2023-03-31 18:34:04","2023-03-31 18:40:37","IP Address",100,392,"True","2023-03-31 18:40:38","R_33j6dmO4AfFscid","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling","","No","","","31-40 years","Male",NA,"Master","Nationality","Indian","Student","","","","","202304_CAA"
